ntacode,d_Total population,d_tot_female_pop,d_Under 5 years,d_5 to 9 years,d_10 to 14 years,d_15 to 19 years,d_20 to 24 years,d_25 to 29 years,d_30 to 34 years,d_35 to 39 years,d_40 to 44 years,d_45 to 49 years,d_50 to 54 years,d_55 to 59 years,d_60 to 64 years,d_65 to 69 years,d_70 to 74 years,d_75 to 79 years,d_80 to 84 years,d_85 years and over,total_population,white_no_lat,black_no_lat,native_no_lat,asian_no_lat,pacific_no_lat,other_race_no_lat,two_or_more_no_lat,hispanic_or_latino,median_age,household_number,family_households_number,median_income,gini_income_ineq,total_workers,poverty_status,income_per_capita
BK09,4604.0,2612.0,219.0,134.0,68.0,720.0,532.0,237.0,361.0,308.0,322.0,237.0,208.0,246.0,150.0,334.0,87.0,43.0,134.0,264.0,4308.0,2968.0,175.0,10.0,469.0,9.0,0.0,192.0,485.0,32.6,1769.0,707.0,63519.0,0.4855,1956.0,3042.0,77106.0
BK17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
BK19,4311.0,2615.0,122.0,35.0,201.0,173.0,148.0,40.0,260.0,280.0,239.0,258.0,80.0,245.0,210.0,192.0,468.0,324.0,350.0,686.0,4074.0,3681.0,15.0,0.0,81.0,0.0,0.0,281.0,16.0,62.1,2047.0,863.0,12228.0,0.5448,1163.0,4069.0,19662.0
BK21,18971.0,10552.0,1018.0,1192.0,1055.0,1656.0,1151.0,1208.0,1032.0,738.0,896.0,829.0,1293.0,1439.0,1192.0,1368.0,605.0,825.0,674.0,800.0,17532.0,4092.0,6213.0,50.0,1976.0,0.0,0.0,395.0,4806.0,46.55,1705.5,1063.0,15181.25,0.518475,1050.75,4234.25,19224.5
BK23,8754.0,4615.0,419.0,293.0,325.0,194.0,292.0,495.0,187.0,340.0,537.0,630.0,359.0,665.0,340.0,1091.0,769.0,763.0,623.0,432.0,8363.0,7494.0,172.0,0.0,137.0,6.0,0.0,349.0,205.0,59.95,2136.0,1232.5,20491.0,0.45599999999999996,1676.5,4181.5,27831.5
BK25,15161.0,7586.0,1753.0,1211.0,984.0,1220.0,866.0,1032.0,1008.0,669.0,661.0,779.0,876.0,907.0,575.0,729.0,638.0,426.0,441.0,386.0,14737.0,12313.0,134.0,0.0,524.0,0.0,0.0,276.0,1490.0,30.916666666666668,798.5,593.8333333333334,26939.666666666668,0.5695666666666667,806.3333333333334,2451.6666666666665,33260.166666666664
BK26,1944.0,1090.0,17.0,86.0,130.0,61.0,123.0,78.0,115.0,91.0,99.0,122.0,137.0,229.0,145.0,157.0,139.0,70.0,79.0,66.0,1980.0,1251.0,25.0,0.0,475.0,0.0,31.0,0.0,198.0,50.2,762.0,573.0,23665.0,0.4309,716.0,1971.0,25822.0
BK27,4986.0,2539.0,373.0,249.0,300.0,250.0,245.0,216.0,281.0,384.0,319.0,330.0,488.0,391.0,458.0,221.0,113.0,98.0,122.0,148.0,4604.0,2441.0,23.0,10.0,1401.0,0.0,10.0,69.0,650.0,39.849999999999994,797.5,600.5,33580.0,0.42805,1061.5,2302.0,33198.5
BK28,58744.0,30148.0,3851.0,3151.0,3815.0,2881.0,3577.0,3979.0,4511.0,4076.0,3345.0,3856.0,4039.0,4603.0,3499.0,3018.0,2023.0,1359.0,1635.0,1526.0,56019.0,19615.0,498.0,116.0,24055.0,0.0,281.0,861.0,10593.0,38.38,1242.2666666666667,920.6,22950.8,0.44836,1657.7333333333333,3720.866666666667,24689.0
BK29,14691.0,7796.0,1039.0,1125.0,1100.0,676.0,719.0,1101.0,1003.0,1084.0,1239.0,628.0,767.0,1164.0,1007.0,678.0,575.0,191.0,188.0,407.0,13688.0,5009.0,156.0,0.0,6176.0,0.0,21.0,326.0,2000.0,36.775,1129.0,835.75,24872.25,0.453125,1420.0,3410.75,25174.75
