ntacode,tot_employed,construction_wrkrs,manufacturing_wrkrs,mining_oil_gas_extraction_wrkrs,waste_mngmnt_wrkrs,total_insured,male_insured,female_insured,tot_uninsured,male_uninsured,female_uninsured
BK09,2232.0,21.0,30.0,0.0,37.0,4203.0,1769.0,2434.0,105.0,78.0,27.0
BK17,9776.0,661.0,238.0,0.0,157.0,19577.0,9536.0,10041.0,1139.0,735.0,404.0
BK19,1283.0,37.0,44.0,0.0,13.0,3751.0,1530.0,2221.0,318.0,156.0,162.0
BK21,4418.0,180.0,184.0,0.0,124.0,15794.0,6304.0,9490.0,1143.0,623.0,520.0
BK23,3513.0,269.0,54.0,0.0,82.0,7972.0,3630.0,4342.0,391.0,300.0,91.0
BK25,5283.0,343.0,223.0,0.0,101.0,14001.0,6947.0,7054.0,736.0,460.0,276.0
BK26,775.0,65.0,44.0,0.0,0.0,1847.0,972.0,875.0,133.0,72.0,61.0
BK27,2264.0,143.0,107.0,0.0,111.0,4321.0,2173.0,2148.0,283.0,134.0,149.0
BK28,26490.0,2824.0,1265.0,0.0,757.0,50003.0,24075.0,25928.0,6010.0,3847.0,2163.0
BK29,6230.0,544.0,248.0,0.0,183.0,12423.0,5883.0,6540.0,1248.0,774.0,474.0
BK30,9120.0,761.0,542.0,0.0,203.0,18613.0,8804.0,9809.0,1414.0,924.0,490.0
BK31,23896.0,1464.0,907.0,24.0,635.0,43544.0,20632.0,22912.0,3506.0,2077.0,1429.0
BK32,15403.0,1509.0,1171.0,0.0,711.0,27181.0,13215.0,13966.0,5865.0,3597.0,2268.0
BK33,14224.0,215.0,540.0,0.0,459.0,27312.0,12326.0,14986.0,1321.0,625.0,696.0
BK34,13562.0,810.0,683.0,0.0,390.0,26401.0,12705.0,13696.0,3263.0,1687.0,1576.0
BK35,20444.0,505.0,288.0,0.0,888.0,37523.0,16798.0,20725.0,2947.0,1545.0,1402.0
BK37,32552.0,829.0,740.0,0.0,683.0,53754.0,25782.0,27972.0,1343.0,667.0,676.0
BK38,4013.0,52.0,61.0,0.0,187.0,7383.0,3778.0,3605.0,313.0,157.0,156.0
BK40,1907.0,32.0,63.0,0.0,11.0,3834.0,1847.0,1987.0,108.0,46.0,62.0
BK41,5673.0,343.0,81.0,0.0,77.0,11994.0,5630.0,6364.0,690.0,442.0,248.0
BK42,25467.0,1193.0,575.0,0.0,1006.0,45192.0,20284.0,24908.0,4769.0,2814.0,1955.0
BK43,9569.0,393.0,341.0,0.0,229.0,20957.0,10034.0,10923.0,1629.0,846.0,783.0
BK44,7541.0,433.0,307.0,0.0,272.0,15487.0,7296.0,8191.0,1191.0,663.0,528.0
BK45,5229.0,352.0,153.0,0.0,160.0,11024.0,5369.0,5655.0,380.0,191.0,189.0
BK46,2526.0,45.0,222.0,0.0,143.0,5833.0,2748.0,3085.0,376.0,217.0,159.0
BK50,31222.0,1589.0,488.0,20.0,1164.0,57942.0,25548.0,32394.0,4121.0,2169.0,1952.0
BK58,24343.0,1100.0,427.0,0.0,998.0,48436.0,22110.0,26326.0,3079.0,1680.0,1399.0
BK60,21420.0,877.0,397.0,0.0,885.0,37350.0,17016.0,20334.0,3677.0,2013.0,1664.0
BK61,35776.0,1455.0,404.0,0.0,1968.0,65874.0,29472.0,36402.0,5352.0,2913.0,2439.0
BK63,1567.0,47.0,28.0,0.0,20.0,4391.0,1940.0,2451.0,156.0,112.0,44.0
BK64,2097.0,62.0,72.0,0.0,17.0,3084.0,1383.0,1701.0,44.0,10.0,34.0
BK68,2706.0,60.0,114.0,0.0,169.0,5789.0,2618.0,3171.0,268.0,177.0,91.0
BK69,2599.0,9.0,99.0,0.0,54.0,3745.0,1808.0,1937.0,200.0,87.0,113.0
BK72,788.0,32.0,40.0,0.0,54.0,2435.0,1198.0,1237.0,48.0,5.0,43.0
BK73,9783.0,272.0,490.0,0.0,344.0,14889.0,7609.0,7280.0,1012.0,545.0,467.0
BK75,14230.0,457.0,555.0,0.0,675.0,25796.0,11097.0,14699.0,2332.0,1415.0,917.0
BK76,12021.0,697.0,478.0,0.0,390.0,16438.0,7931.0,8507.0,1381.0,723.0,658.0
