,BBL,InspectionDate,Latitude,Longitude,Postcode,CurrentStatus,CurrentStatusDate
21204,2032840039,1986-02-05,40.86722,-73.88554,10458,VIOLATION CLOSED,09/14/2016
22704,2025210001,1986-04-02,40.840905,-73.92345,10452,VIOLATION CLOSED,03/29/2016
21598,2028510036,1986-04-29,40.848433,-73.910606,10453,VIOLATION CLOSED,07/29/2018
20833,2028080032,1988-04-04,40.851106,-73.906308,10453,VIOLATION CLOSED,06/21/2013
20832,2028080032,1988-04-04,40.851106,-73.906308,10453,VIOLATION CLOSED,06/21/2013
21921,2027040012,1988-04-15,40.822904,-73.89686,10459,VIOLATION DISMISSED,06/20/2013
21920,2027040012,1988-04-15,40.822904,-73.89686,10459,VIOLATION DISMISSED,06/20/2013
6970,2028790240,1988-05-05,40.853224,-73.916448,10453,VIOLATION CLOSED,03/28/2021
6971,2028790240,1988-05-05,40.853224,-73.916448,10453,VIOLATION CLOSED,03/28/2021
21922,2027040012,1988-08-25,40.822904,-73.89686,10459,VIOLATION DISMISSED,06/20/2013
20140,-2147483648,1988-09-20,40.688868,-73.919178,11221,NOV SENT OUT,11/01/1988
20141,-2147483648,1988-09-20,40.688868,-73.919178,11221,NOV SENT OUT,11/01/1988
1051,2027490011,1988-10-05,40.823872,-73.89047,10459,VIOLATION CLOSED,05/04/2015
20271,-2147483648,1988-11-14,40.695428,-73.935752,11206,DEFECT LETTER ISSUED,02/27/2008
20051,-2147483648,1988-11-15,40.675961,-73.949917,11216,DEFECT LETTER ISSUED,11/15/1988
20049,-2147483648,1988-12-06,40.696928,-73.992279,11201,FIRST NO ACCESS TO RE- INSPECT VIOLATION,10/04/2010
20050,-2147483648,1988-12-06,40.696928,-73.992279,11201,FIRST NO ACCESS TO RE- INSPECT VIOLATION,10/04/2010
20332,1012350041,1989-04-26,40.789149,-73.974465,10024,VIOLATION CLOSED,04/08/2014
20344,1019660047,1989-07-06,40.812674,-73.955641,10027,VIOLATION CLOSED,09/13/2019
22562,2031810015,1989-10-03,40.856464,-73.90394,10453,NOT COMPLIED WITH,01/27/2005
22340,2029240037,1989-12-14,40.845786,-73.896633,10457,VIOLATION CLOSED,08/14/2018
7852,-2147483648,1990-03-13,40.627449,-73.988648,11204,SECOND NO ACCESS TO RE-INSPECT VIOLATION,07/01/2021
21697,2032810077,1990-11-09,40.868902,-73.881571,10458,DEFECT LETTER ISSUED,01/27/2020
6868,-2147483648,1990-11-20,40.595992,-73.977419,11223,SECOND NO ACCESS TO RE-INSPECT VIOLATION,01/04/2002
6869,-2147483648,1990-11-20,40.595992,-73.977419,11223,SECOND NO ACCESS TO RE-INSPECT VIOLATION,01/04/2002
12415,-2147483648,1990-12-14,40.650267,-74.003744,11232,DEFECT LETTER ISSUED,04/27/2005
12414,-2147483648,1990-12-14,40.650267,-74.003744,11232,DEFECT LETTER ISSUED,04/27/2005
10056,-2147483648,1991-03-05,40.682714,-73.907641,11207,VIOLATION CLOSED,03/21/2022
24494,-2147483648,1991-05-22,40.634179,-73.989429,11219,VIOLATION CLOSED,09/04/2013
20211,-2147483648,1991-07-01,40.667717,-73.895662,11207,DEFECT LETTER ISSUED,12/17/2018
20176,-2147483648,1991-07-22,40.671588,-73.916452,11233,FIRST NO ACCESS TO RE- INSPECT VIOLATION,12/29/2008
20232,-2147483648,1991-09-23,40.682927,-73.876738,11208,NOV SENT OUT,10/29/1991
21707,2028090012,1991-10-07,40.849757,-73.904832,10457,VIOLATION CLOSED,07/22/2013
7958,2029630047,1991-12-04,40.833149,-73.895634,10459,VIOLATION CLOSED,07/29/2021
20248,-2147483648,1992-02-13,40.688539,-73.936865,11221,VIOLATION CLOSED,03/06/2013
22022,2024520035,1992-04-18,40.832241,-73.916489,10456,VIOLATION CLOSED,10/07/2013
22021,2024520035,1992-04-18,40.832241,-73.916489,10456,VIOLATION CLOSED,10/07/2013
20164,-2147483648,1992-05-07,40.745589,-73.912181,11377,NOV SENT OUT,05/19/1992
20163,-2147483648,1992-05-07,40.745589,-73.912181,11377,NOV SENT OUT,05/19/1992
24762,2024100054,1992-07-17,40.817463,-73.920149,10451,DEFECT LETTER ISSUED,12/01/2019
15479,-2147483648,1992-08-27,40.644428,-73.963818,11226,FIRST NO ACCESS TO RE- INSPECT VIOLATION,06/27/2013
20237,-2147483648,1992-10-05,40.694993,-73.965291,11205,DEFECT LETTER ISSUED,10/21/2015
20177,-2147483648,1992-12-07,40.674496,-73.958221,11238,NOT COMPLIED WITH,08/29/2002
20284,1005270056,1993-01-21,40.729958,-74.003604,10014,VIOLATION CLOSED,07/16/2014
20283,1005270056,1993-01-21,40.729958,-74.003604,10014,VIOLATION CLOSED,07/16/2014
14468,-2147483648,1993-02-10,40.641216,-73.970976,11218,VIOLATION CLOSED,09/14/2017
20293,1014277501,1993-03-31,40.770258,-73.959717,10021,FIRST NO ACCESS TO RE- INSPECT VIOLATION,08/30/2010
20306,1017250069,1993-06-09,40.809542,-73.944181,10027,VIOLATION CLOSED,04/03/2018
20331,1012457502,1993-09-15,40.786488,-73.980175,10024,DEFECT LETTER ISSUED,09/11/2007
20262,-2147483648,1993-09-27,40.677392,-73.891522,11207,VIOLATION CLOSED,06/12/2013
20115,-2147483648,1993-10-12,40.699837,-73.915836,11237,VIOLATION CLOSED,11/27/2013
20339,1019270021,1993-10-14,40.806768,-73.951014,10027,VIOLATION CLOSED,07/25/2014
20335,1019270021,1993-10-14,40.806768,-73.951014,10027,VIOLATION CLOSED,07/25/2014
20336,1019270021,1993-10-14,40.806768,-73.951014,10027,VIOLATION CLOSED,07/25/2014
20337,1019270021,1993-10-14,40.806768,-73.951014,10027,VIOLATION CLOSED,07/25/2014
20340,1019270021,1993-10-14,40.806768,-73.951014,10027,VIOLATION CLOSED,07/25/2014
20338,1019270021,1993-10-14,40.806768,-73.951014,10027,VIOLATION CLOSED,07/25/2014
21452,2022850060,1994-02-22,40.809492,-73.919758,10454,NOT COMPLIED WITH,06/26/2013
20603,2030520005,1994-04-19,40.854815,-73.891598,10458,NOV CERTIFIED LATE,06/03/1994
20105,-2147483648,1994-04-25,40.658068,-73.910677,11212,VIOLATION CLOSED,01/29/2014
11393,-2147483648,1994-06-27,40.68587,-73.94051,11221,DEFECT LETTER ISSUED,05/19/2022
20139,-2147483648,1994-06-27,40.68587,-73.94051,11221,NOT COMPLIED WITH,07/21/2009
15279,-2147483648,1994-07-19,40.675558,-73.939928,11213,NOV SENT OUT,08/09/1994
21955,2057070013,1994-08-06,40.880496,-73.905891,10463,DEFECT LETTER ISSUED,07/16/2015
20368,1020750043,1994-08-22,40.824893,-73.948909,10031,VIOLATION CLOSED,08/29/2016
20367,1020750043,1994-08-22,40.824893,-73.948909,10031,VIOLATION CLOSED,08/29/2016
20366,1020750043,1994-08-22,40.824893,-73.948909,10031,VIOLATION CLOSED,08/29/2016
20365,1020750043,1994-08-22,40.824893,-73.948909,10031,VIOLATION CLOSED,08/29/2016
20364,1020750043,1994-08-22,40.824893,-73.948909,10031,VIOLATION CLOSED,08/29/2016
23153,-2147483648,1994-08-22,40.615901,-74.031157,11209,VIOLATION CLOSED,12/07/2018
20571,2033290025,1994-08-25,40.88415,-73.877663,10467,VIOLATION CLOSED,01/26/2016
14826,-2147483648,1994-09-02,40.686366,-73.994833,11201,NOV CERTIFIED LATE,10/20/1994
20231,-2147483648,1994-09-07,40.688539,-73.936865,11221,VIOLATION CLOSED,03/06/2013
20039,-2147483648,1994-09-14,40.672621,-73.965792,11238,VIOLATION CLOSED,03/20/2017
20068,-2147483648,1994-09-23,40.668904,-73.932858,11213,FIRST NO ACCESS TO RE- INSPECT VIOLATION,06/18/2013
20152,-2147483648,1994-09-29,40.68592,-73.946751,11216,NOV SENT OUT,10/18/1994
20205,-2147483648,1994-10-06,40.677312,-73.967138,11238,VIOLATION CLOSED,06/02/2014
12876,-2147483648,1994-12-29,40.650804,-74.013694,11220,DEFECT LETTER ISSUED,02/21/2017
20279,1008830044,1995-01-17,40.741496,-73.981217,10016,VIOLATION CLOSED,03/24/2014
20282,1008830044,1995-01-17,40.741496,-73.981217,10016,VIOLATION CLOSED,03/24/2014
20280,1008830044,1995-01-17,40.741496,-73.981217,10016,VIOLATION CLOSED,03/24/2014
20281,1008830044,1995-01-17,40.741496,-73.981217,10016,VIOLATION CLOSED,03/24/2014
20178,-2147483648,1995-01-18,40.673217,-73.946224,11213,VIOLATION CLOSED,11/19/2012
16606,-2147483648,1995-02-22,40.642163,-73.980931,11218,FALSE CERTIFICATION,02/22/1995
16604,-2147483648,1995-02-22,40.642163,-73.980931,11218,FALSE CERTIFICATION,02/22/1995
12878,-2147483648,1995-03-20,40.650804,-74.013694,11220,DEFECT LETTER ISSUED,02/21/2017
12880,-2147483648,1995-03-20,40.650804,-74.013694,11220,DEFECT LETTER ISSUED,02/21/2017
12877,-2147483648,1995-03-20,40.650804,-74.013694,11220,DEFECT LETTER ISSUED,02/21/2017
20119,-2147483648,1995-05-26,40.704344,-73.928097,11237,FIRST NO ACCESS TO RE- INSPECT VIOLATION,06/29/2013
22100,2028740107,1995-06-09,40.845407,-73.920145,10452,VIOLATION CLOSED,06/27/2016
6228,-2147483648,1995-07-10,40.691882,-73.94706,11216,VIOLATION CLOSED,10/14/2020
12890,-2147483648,1995-07-10,40.64666,-74.006836,11220,VIOLATION CLOSED,04/26/2018
12891,-2147483648,1995-07-10,40.64666,-74.006836,11220,VIOLATION CLOSED,04/26/2018
12892,-2147483648,1995-07-10,40.64666,-74.006836,11220,VIOLATION DISMISSED,02/14/2013
20249,-2147483648,1995-07-27,40.677721,-73.849611,11417,NOV SENT OUT,08/22/1995
20147,-2147483648,1995-08-04,40.651886,-73.949701,11226,VIOLATION CLOSED,08/08/2018
20148,-2147483648,1995-08-04,40.651886,-73.949701,11226,VIOLATION CLOSED,08/08/2018
20146,-2147483648,1995-08-04,40.651886,-73.949701,11226,VIOLATION CLOSED,08/08/2018
22895,2031020029,1995-08-16,40.853813,-73.883325,10458,DEFECT LETTER ISSUED,08/18/2010
22894,2031020029,1995-08-16,40.853813,-73.883325,10458,DEFECT LETTER ISSUED,08/18/2010
22088,2031900050,1995-08-24,40.864027,-73.898676,10468,VIOLATION CLOSED,05/21/2015
21703,2027950034,1995-08-28,40.84595,-73.908387,10457,VIOLATION CLOSED,07/03/2014
21702,2027950034,1995-08-28,40.84595,-73.908387,10457,VIOLATION CLOSED,07/03/2014
13733,-2147483648,1995-09-19,40.632288,-74.011943,11220,NOV SENT OUT,10/24/1995
14289,-2147483648,1995-09-19,40.673849,-73.878817,11208,VIOLATION CLOSED,04/28/2014
20097,-2147483648,1995-10-04,40.657556,-73.954746,11225,VIOLATION CLOSED,07/02/2015
7233,-2147483648,1995-10-25,40.644039,-73.957307,11226,VIOLATION CLOSED,05/22/2015
15168,-2147483648,1995-11-13,40.651774,-73.955961,11226,VIOLATION CLOSED,11/04/2015
10770,1021220140,1995-11-29,40.837293,-73.940949,10032,NOT COMPLIED WITH,01/22/2020
20031,-2147483648,1995-12-12,40.656191,-73.917495,11212,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/21/2003
20030,-2147483648,1995-12-12,40.656191,-73.917495,11212,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/21/2003
20029,-2147483648,1995-12-12,40.656191,-73.917495,11212,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/21/2003
